Year,consumption_gj
1950,36495436997.978424
1951,39003304759.65616
1952,38752201466.7326
1953,39715467460.17466
1954,38627704876.12344
1955,42385813823.155876
1956,44016930171.3064
1957,44058077349.55858
1958,43894543692.40248
1959,45808415009.05517
1960,47510220099.331215
1961,48205501906.2078
1962,50408458526.47836
1963,52325495010.688896
1964,54608635875.75858
1965,56944529533.45927
1966,60105476867.90878
1967,62154395333.69682
1968,65858696432.24565
1969,69243315607.4506
1970,71604530605.61415
1971,73095324525.36621
1972,76660358251.3692
1973,79772773016.5982
1974,77894773598.93462
1975,75855350635.82014
1976,80088234716.53159
1977,82132932958.90915
1978,84102722235.75067
1979,85121906189.3816
1980,82277475610.7181
1981,80143097620.86781
1982,76985315453.97617
1983,76819671685.1148
1984,80656909821.09377
1985,80402641360.61234
1986,80703332278.60904
1987,83181658476.41342
1988,87053713455.52881
1989,89334744208.89326
1990,89067815078.1804
1991,88945428599.27649
1992,90317001207.68248
1993,91941787220.71727
1994,93658363092.93002
1995,95730492787.4757
1996,98937862579.4405
1997,99538189359.58127
1998,99982367873.53429
1999,101694723522.33655
2000,103946212711.82764
2001,101243159617.41519
2002,102764550156.89323
2003,103145425319.68907
2004,105322005543.64412
2005,105478153809.83188
2006,104734339433.73479
2007,106309537821.69644
2008,104028507068.332
2009,99015936712.53438
2010,102795146776.6192
2011,102050277344.66953
2012,99395756819.47757
2013,102273949185.42496
2014,103518915091.51653
2015,102514501919.82231
2016,102477574964.98058
2017,102798311944.17708
2018,106599678181.16695
2019,105696550371.32422
2020,97903907843.87291
